Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
Keg Robot,Medium construct,Unaligned,14 (natural armor),39 (6d8 + 12),30ft.,16,16,15,6,8,5,None,perception: +1,None,"bludgeoning, piercing and slashing from nonmagical attacks","poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive perception 11","""understands Common but cant speak""",2,"
Customizable Storage: A keg robot can hold up to three types of liquid payload totaling 12 gallons within its hollow, barrel-shaped body. A full keg robot can make one liquid attack per gallon before the liquid must be refilled. Filling a keg robot takes 2 rounds per gallon. Differing payloads can alter the keg robot's attacks from those presented here.","
Fist: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage.
Acid Squirt: Ranged Weapon Attack: +5 to hit, range 20/40 ft., one target. Hit: 7 (1d8 + 3) acid damage.
Beer Shower: The keg robot spews an unnaturally potent beer in a 15-foot cone or in a 30-foot line that is 5 feet wide. Each creature in the area must succeed on a DC: 13 Constitution saving throw or be poisoned. While poisoned in this way, a creature has its speed halved by exposure to the potent brew. An affected creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.
Hot Oil Spray  - Recharge  5: The keg robot sprays hot oil in a 15-foot cone or in a 30-foot line that is 5 feet wide. Each creature in the area must make a DC: 13 Dexterity saving throw. On a failed save, a creature takes 7 (1d8 + 3) fire damage and falls prone. On a successful save, a creature takes half as much damage and doesn't fall prone.",None,not in this JSON,Keg Robot - Monsters | DnD Wiki,"Keg Robot is a CR 2, Unaligned, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
MÃ´rgÃ¦n,Medium humanoid,Chaotic Neutral,16 ( studded leather armor),66 (12d8 + 12),30ft.,12,18,12,12,14,10,"Str: +3, Dex: +6","athletics: +3, insight: +4, nature: +3, perception: +4, stealth: +6, survival: +4",None,None,None,None,"darkvision 60 ft., passive perception 14","Common, Draconic, Dwarvish, Giant, Goblin",4,"
Fey Ancestry: MÃ´rgÃ¦n has advantage on saving throws against being charmed, and magic can't put her to sleep.","
Multiattack: MÃ´rgÃ¦n makes three attacks with her scimitars or her longbow.
Scimitars: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.
Longbow: Ranged Weapon Attack: +6 to hit, range 150/600 ft., one target. Hit: 8 (1d8 + 4) piercing damage.",None,not in this JSON,MÃ´rgÃ¦n - Monsters | DnD Wiki,"MÃ´rgÃ¦n is a CR 4, Chaotic Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Oak Truestrike,Medium humanoid,error,15 ( studded leather armor),32 (5d8 + 10),30ft.,13,16,14,10,13,11,None,"nature: +3, perception: +3, performance: +2, stealth: +5, survival: +3",None,None,None,None,passive perception 13,Common,2,"
Fey Ancestry: Oak has advantage on saving throws against being charmed, and magic can't put him to sleep.
Keen Hearing and Sight: Oak has advantage on Wisdom (Perception) checks that rely on hearing or sight.","
Multiattack: Oak makes three attacks with his hooked daggers or his hand crossbow.
Hooked Dagger: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.
Hand Crossbow: Ranged Weapon Attack: +5 to hit, range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",None,not in this JSON,Oak Truestrike - Monsters | DnD Wiki,"Oak Truestrike is a CR 2, error, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Omin Dran,Medium humanoid,Lawful Neutral,18 ( plate armor),65 (10d8 + 20),30ft.,16,8,14,11,18,12,"Wis: +7, Cha: +4","deception: +4, insight: +7, intimidation: +4, medicine: +7, perception: +7, persuasion: +4",None,None,None,None,"darkvision 60 ft., passive perception 17","Common, Dwarvish, Elvish, Goblin",5,"
Divine Strike: Once on each of his turns when he hits a creature with a weapon attack, Omin can cause the attack to deal an extra 4 (1d8) damage of the same type dealt by the weapon.
Fey Ancestry: Omin has advantage on saving throws against being charmed, and magic can't put him to sleep.","
Multiattack: Omin makes two attacks with his maul.
Maul: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage.",None,not in this JSON,Omin Dran - Monsters | DnD Wiki,"Omin Dran is a CR 5, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Pendragon Beestinger,Medium humanoid,Neutral Evil,12,27 (5d8 + 5),30ft.,10,14,12,17,10,11,None,"arcana: +5, investigation: +5, performance: +2",None,None,None,None,passive perception 10,"Common, Draconic, Elvish, Halfling",2,"
Echo Spell (1/day): Pendragon can cast the spell he cast on his last turn, whose casting time becomes 1 bonus action. This bonus casting uses a spell slot as normal.","
Shortsword: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",None,not in this JSON,Pendragon Beestinger - Monsters | DnD Wiki,"Pendragon Beestinger is a CR 2, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Phoenix Anvil,Medium humanoid,Lawful Neutral,18 ( chain mail),27 (5d8 + 5),30ft.,15,10,12,13,16,13,None,"athletics: +4, performance: +3, persuasion: +3, religion: +3",None,None,None,None,passive perception 13,"Common, Elvish",2,"
Divine Display (1/day): As a bonus action, Phoenix causes his shield to flare with divine light. Each creature of his choice within 30 feet of him must succeed on a {@dc 13 Wisdom saving throw or be blinded for 1 minute. A creature can repeat the save at the end of each of its turns, ending the effect on itself with a success.","
Multiattack: Phoenix makes two melee attacks.
Warhammer: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage, and the target must succeed on a DC: 12 Strength saving throw or be pushed 5 feet.",None,not in this JSON,Phoenix Anvil - Monsters | DnD Wiki,"Phoenix Anvil is a CR 2, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Portentia Dran,Medium monstrosity,Lawful Evil,17 ( chain shirt),45 (6d8 + 18),30ft.,12,18,16,13,12,14,None,"deception: +6, insight: +3, perception: +3",None,None,None,charmed,"darkvision 60 ft., passive perception 13","Common, Elvish",3,"
Sneak Attack (1/Turn): Portentia deals an extra 14 (4d6) damage when she hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Portentia that isn't incapacitated and Portentia doesn't have disadvantage on the attack roll.","
Multiattack: Portentia makes three melee attacks.
Shortsword: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.
Change Shape: Portentia magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than her own, or back into her true form. Any equipment she is wearing or carrying is absorbed or borne by the new form (her choice). In a new form, Portentia retains her game statistics and ability to speak, but her AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and she gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that she lacks.",None,not in this JSON,Portentia Dran - Monsters | DnD Wiki,"Portentia Dran is a CR 3, Lawful Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Prophetess Dran,Medium humanoid,Lawful Good,14 ( breastplate),27 (5d8 + 5),30ft.,14,10,12,13,16,13,None,"medicine: +5, persuasion: +3, religion: +5",None,None,None,None,"darkvision 60 ft., passive perception 13","Common, Elvish",2,"
Divine Eminence: As a bonus action, Prophetess can expend a spell slot to cause her melee weapon attacks to magically deal an extra 10 (3d6) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If Prophetess expends a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each level above 1st.
Fey Ancestry: Prophetess has advantage on saving throws against being charmed, and magic can't put her to sleep.","
Maul: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) bludgeoning damage.",None,not in this JSON,Prophetess Dran - Monsters | DnD Wiki,"Prophetess Dran is a CR 2, Lawful Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Rosie Beestinger,Small humanoid,Chaotic Good,15 (Unarmored Defense),45 (10d6 + 10),40ft.,8,16,12,12,14,14,"Str: +1, Dex: +5","acrobatics: +5, history: +3, intimidation: +4, stealth: +5",None,None,None,None,passive perception 12,"Common, Draconic, Elvish, Halfling",3,"
Brave: Rosie has advantage on saving throws against being frightened.
Halfling Nimbleness: Rosie can move through the space of any creature that is of a size larger than hers.
Evasion: If Rosie is subjected to an effect that allows her to make a Dexterity saving throw to take only half damage, she instead takes no damage if she succeeds on the saving throw, and only half damage if she fails. She can't use this trait if she's incapacitated.
Shadow Step: When Rosie is in dim light or darkness, she can use a bonus action to teleport 60 feet to an unoccupied space she can see that is also in dim light or darkness. She then has advantage on the first melee attack she makes before the end of the turn.","
Multiattack: Rosie makes three attacks, then makes two unarmed strike attacks.
Staff of the Master (+1 Quarterstaff): Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage, or 8 (1d8 + 4) bludgeoning damage if used with two hands.
Unarmed Strike: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Rosie's unarmed strikes are magical.",None,not in this JSON,Rosie Beestinger - Monsters | DnD Wiki,"Rosie Beestinger is a CR 3, Chaotic Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Splugoth the Returned,Small humanoid,Neutral Evil,15 (natural armor),27 (6d6 + 6),30ft.,10,14,12,14,11,10,"Int: +4, Wis: +2",stealth: +6,None,None,None,None,"darkvision 60 ft., passive perception 10","Common, Draconic, Elvish, Goblin",2,"
Defensive Advantage: As long as two or more of Splugoth's allies are within 5 feet of him and are not incapacitated, attack rolls against him are made with disadvantage.
Nimble Escape: Splugoth can take the Disengage or Hide action as a bonus action on each of his turns.
Touch of Madness: Splugoth has advantage on saving throws against being charmed or frightened.","
Multiattack: Splugoth makes two attacks with his dagger.
Dagger: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.
Word From Beyond (1/day): Splugoth remembers and repeats aloud a few words from a place he entered while walking back from the next world to this one. Each creature of his choice within 30 feet of him that can hear him must succeed on a DC: 12 Wisdom saving throw or be stunned until the end of its next turn.",None,not in this JSON,Splugoth the Returned - Monsters | DnD Wiki,"Splugoth the Returned is a CR 2, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Viari,Medium humanoid,Chaotic Good,18 ( studded leather armor +1||+1 studded leather}),65 (10d8 + 20),30ft.,12,20,14,10,8,14,"Dex: +8, Int: +3","acrobatics: +11, athletics: +7, perception: +5, performance: +5, persuasion: +5, sleight of hand: +11, stealth: +8",None,None,None,None,passive perception 15,"Common, Draconic, ""Thieves cant""",5,"
Evasion: If Viari is subjected to an effect that allows him to make a Dexterity saving throw to take only half damage, he instead takes no damage if he succeeds on the saving throw, and only half damage if he fails. He can't use this trait if he's incapacitated.
Second-Story Work: Climbing does not cost Viari extra movement. Additionally, when he makes a running jump, the distance he covers increases by 5 feet.
Sneak Attack (1/Turn): Viari deals an extra 14 (4d6) damage when he hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Viari that isn't incapacitated and Viari doesn't have disadvantage on the attack roll.","
Multiattack: Viari makes two attacks with his shortsword and two attacks with his rapier.
+1 Shortsword: Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 9 (1d6 + 6) piercing damage.
Rapier: Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage.
Dagger: Melee or Ranged Weapon Attack: ++8 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 7 (1d4 + 5) piercing damage.",None,not in this JSON,Viari - Monsters | DnD Wiki,"Viari is a CR 5, Chaotic Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Walnut Dankgrass,Medium humanoid,Lawful Neutral,14 ( leather armor),52 (8d8 + 16),35ft.,8,16,14,10,18,10,"Int: +2, Wis: +6","athletics: +1, insight: +6, perception: +6, stealth: +5, survival: +6",None,None,None,None,"darkvision 60 ft., passive perception 16","Common, Druidic, Elvish, Sylvan",3,"
Fey Ancestry: Walnut has advantage on saving throws against being charmed, and magic can't put her to sleep.
Mask of the Wild: Walnut can attempt to hide even when she is only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena.
Wild Shape (Recharges after a Short or Long rest): As a bonus action, Walnut can assume the shape of a dire wolf. She can stay in this form for 3 hours or until she reverts to her normal form as a bonus action. She automatically reverts if she falls unconscious, drops to 0 hit points, or dies.","
Multiattack: Walnut makes two attacks with Foremother or her longbow.
Foremother (+1 Scimitar): Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.
Longbow: Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage.",None,not in this JSON,Walnut Dankgrass - Monsters | DnD Wiki,"Walnut Dankgrass is a CR 3, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Abyssal Chicken,Tiny fiend,Chaotic Evil,13 (natural armor),10 (3d4 + 3),"30ft., fly {'number': 30, 'condition': '(see bad flier below)'}ft.",6,14,13,4,9,5,None,None,None,"cold, fire, lightning",poison,"blinded, poisoned","blindsight 30ft. (blind beyond this radius), passive perception 9","""understands Abyssal but cant speak""",1/4,"
Bad Flier: The abyssal chicken falls at the end of a turn if it's airborne and the only thing holding it aloft is its flying speed.","
Multiattack: The abyssal chicken makes two attacks: one with its bite and one with its claws.
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.
Claws: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.",None,not in this JSON,Abyssal Chicken - Monsters | DnD Wiki,"Abyssal Chicken is a CR 1/4, Chaotic Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Amrik Vanthampur,Medium humanoid,Lawful Evil,17 ( leather armor),66 (12d8 + 12),30ft.,12,18,12,14,14,15,None,"acrobatics: +6, athletics: +3, deception: +6, insight: +6",None,None,None,None,passive perception 12,"Common, Infernal",3,"
Suave Defense: While Amrik is wearing light or no armor and wielding no shield, his AC includes his Charisma modifier.","
Multiattack: Amrik makes three dagger attacks.
Dagger: Melee or Ranged Weapon Attack: ++6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d4 + 4) piercing damage.
Smoke Bomb (1/Day): Amrik hurls a smoke bomb up to 20 feet away. The bomb explodes on impact, creating a cloud of black smoke that fills a 10-foot-radius sphere. The area within the cloud is heavily obscured. A strong wind disperses the cloud, which otherwise remains until the end of Amrik's next turn.",None,not in this JSON,Amrik Vanthampur - Monsters | DnD Wiki,"Amrik Vanthampur is a CR 3, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Archduke Zariel of Avernus,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,"fire, radiant; and bludgeoning, piercing and slashing from nonmagical attacks that arent silvered","cold, necrotic, poison",None,,error,NOT FOUND,error,error,None,not in this JSON,Archduke Zariel of Avernus - Monsters | DnD Wiki,"Archduke Zariel of Avernus is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
